_id,Calendar Year,Hospital and Health Service (2014),Facility ID,Facility Name,Mothers,Babies
394,1998,North West,247,Normanton,5,5
395,1998,North West,249,Mornington Island,1,1
396,1998,North West,252,Doomadgee,1,1
397,1998,Private,99999,na,12399,12637
398,1998,South West,112,Charleville,85,86
399,1998,South West,113,Cunnamulla,18,18
400,1998,South West,116,Mitchell,7,7
401,1998,South West,118,Quilpie,2,2
402,1998,South West,119,Roma,143,146
403,1998,South West,120,St George,69,69
404,1998,Sunshine Coast,43,Caloundra,1,1
405,1998,Sunshine Coast,48,Maleny,27,27
406,1998,Sunshine Coast,49,Nambour,1971,1995
407,1998,Sunshine Coast,68,Gympie,385,387
408,1998,Torres and Cape,213,Bamaga,1,1
409,1998,Torres and Cape,216,Cooktown,19,19
410,1998,Torres and Cape,226,Thursday Island,216,216
411,1998,Torres and Cape,228,Weipa,10,10
412,1998,Townsville,191,Ayr,198,200
413,1998,Townsville,193,Charters Towers,80,80
414,1998,Townsville,196,Ingham,156,156
415,1998,Townsville,197,Joyce Palmer HS,19,19
416,1998,Townsville,198,Townsville,1,1
417,1998,Townsville,199,Kirwan,1687,1712
418,1998,Townsville,244,Hughenden,6,6
419,1998,Townsville,248,Richmond,2,2
420,1998,Unknown,999,Unknown,4,5
421,1998,West Moreton,15,Ipswich,1656,1683
422,1998,West Moreton,42,Boonah,2,2
423,1998,West Moreton,45,Gatton,22,22
424,1998,West Moreton,47,Laidley,1,1
425,1998,Wide Bay,61,Biggenden,1,1
426,1998,Wide Bay,62,Bundaberg,881,896
427,1998,Wide Bay,64,Childers,1,1
428,1998,Wide Bay,65,Eidsvold,1,1
429,1998,Wide Bay,66,Gayndah,5,5
430,1998,Wide Bay,69,Hervey Bay,383,386
431,1998,Wide Bay,71,Maryborough,368,377
432,1998,Wide Bay,72,Monto,28,28
433,1998,Wide Bay,74,Mundubbera,5,5
434,1999,Cairns and Hinterland,211,Atherton,296,296
435,1999,Cairns and Hinterland,212,Babinda,12,12
436,1999,Cairns and Hinterland,214,Cairns,1743,1782
437,1999,Cairns and Hinterland,222,Innisfail,290,291
438,1999,Cairns and Hinterland,223,Mareeba,206,208
439,1999,Cairns and Hinterland,224,Mossman,98,98
440,1999,Cairns and Hinterland,227,Tully,35,35
441,1999,Cairns and Hinterland,229,Gurriny Yealamucka PHC,6,7
442,1999,Central Queensland,133,Biloela,110,110
443,1999,Central Queensland,134,Blackwater,3,3
444,1999,Central Queensland,135,Emerald,299,301
445,1999,Central Queensland,136,Gladstone,504,510
446,1999,Central Queensland,139,Mount Morgan,6,6
447,1999,Central Queensland,140,Moura,26,26
448,1999,Central Queensland,141,Rockhampton,1018,1030
449,1999,Central Queensland,142,Springsure,15,15
450,1999,Central Queensland,143,Theodore,22,22
451,1999,Central Queensland,144,Capricorn Coast (Yeppoon),13,13
452,1999,Central Queensland,145,Woorabinda,5,5
453,1999,Central West,152,Barcaldine,13,13
454,1999,Central West,153,Blackall,21,21
455,1999,Central West,156,Longreach,82,85
456,1999,Central West,159,Winton,16,16
457,1999,Darling Downs,63,Cherbourg,5,5
458,1999,Darling Downs,70,Kingaroy,310,311
459,1999,Darling Downs,77,Wondai,53,54
460,1999,Darling Downs,91,Chinchilla,80,80
461,1999,Darling Downs,92,Dalby,199,199
462,1999,Darling Downs,93,Goondiwindi,120,121
463,1999,Darling Downs,95,Jandowae,3,3
464,1999,Darling Downs,97,Miles,23,23
465,1999,Darling Downs,100,Stanthorpe,128,128
466,1999,Darling Downs,102,Taroom,17,17
467,1999,Darling Downs,103,Texas,2,2
468,1999,Darling Downs,104,Toowoomba,1464,1486
469,1999,Darling Downs,105,Warwick,291,291
470,1999,Gold Coast,50,Gold Coast,2565,2587
471,1999,Home Births,99999,na,164,164
472,1999,Mackay,171,Clermont,31,32
473,1999,Mackay,172,Mackay,988,1003
474,1999,Mackay,173,Moranbah,32,32
475,1999,Mackay,174,Proserpine,254,254
476,1999,Mackay,175,Sarina,1,1
477,1999,Mackay,176,Dysart,11,11
478,1999,Mackay,192,Bowen,29,30
